tweet_id,retweet_count,favorite_count
820494788566847489,521,0
820446719150292993,2383,0
820314633777061888,521,3145
820078625395449857,5765,18581
820013781606658049,1080,0
819952236453363712,1080,5008
819924195358416896,4530,12192
819711362133872643,2862,12573
819588359383371776,1865,9126
819347104292290561,1115,6809
819238181065359361,379,2133
819227688460238848,6218,21730
819015337530290176,34443,0
819015331746349057,17736,0
819006400881917954,17736,42867
819004803107983360,34443,82375
818646164899774465,19377,0
818627210458333184,7038,21157
818614493328580609,2346,9275
818588835076603904,5670,0
818536468981415936,2264,10232
818307523543449600,7427,0
818259473185828864,2074,10377
818145370475810820,2361,11589
817908911860748288,739,4594
817827839487737858,25032,48428
817777686764523521,2515,10202
817536400337801217,2720,11076
817502432452313088,3132,0
817423860136083457,13539,31746
817415592588222464,884,5280
817181837579653120,7834,0
817171292965273600,1858,8284
817120970343411712,2406,11503
817056546584727552,1510,8107
816829038950027264,4372,0
816816676327063552,1886,9444
816697700272001025,2047,9209
816450570814898180,7427,28570
816336735214911488,1795,8148
816091915477250048,1980,8460
816062466425819140,942,0
816014286006976512,4863,0
815990720817401858,942,4677
815966073409433600,7834,21067
815745968457060357,3845,0
815736392542261248,2109,9281
815639385530101762,1547,7795
815390420867969024,3553,9786
814986499976527872,1183,7233
814638523311648768,2516,10660
814578408554463233,5440,0
814530161257443328,1735,8198
814153002265309185,8082,27160
813944609378369540,2945,0
813910438903693312,1725,8819
813812741911748608,12996,34502
813800681631023104,1640,7863
813217897535406080,6829,17612
813202720496779264,1700,8745
813187593374461952,4033,18756
813172488309972993,1803,8774
813157409116065792,2059,7349
813142292504645637,2237,8057
813130366689148928,418,4251
813127251579564032,2913,11172
813112105746448384,2555,9770
813096984823349248,3372,9998
813081950185472002,2586,9403
813066809284972545,1821,7523
813051746834595840,6818,19875
812781120811126785,1784,7129
812709060537683968,1349,6276
812503143955202048,1148,5731
812466873996607488,1796,7549
812372279581671427,3413,12898
811985624773361665,1305,6889
811744202451197953,1468,7134
811647686436880384,680,5305
811627233043480576,2840,12036
811386762094317568,5960,19795
810984652412424192,1328,5035
810896069567610880,1639,8510
810657578271330305,2461,10399
810284430598270976,10468,33201
810254108431155201,3151,13926
809920764300447744,3672,14742
809808892968534016,4557,0
809448704142938112,1363,6589
809220051211603969,5228,18824
809084759137812480,3285,12523
808838249661788160,2857,9623
808733504066486276,2029,7468
808501579447930884,2452,10725
808344865868283904,19377,40049
808134635716833280,5492,0
808106460588765185,2060,8362
808001312164028416,3296,11803
807621403335917568,3375,13805
807106840509214720,51467,111220
807059379405148160,6865,0
807010152071229440,3618,12425
806629075125202948,32245,70334
806620845233815552,5124,0
806576416489959424,1818,4649
806542213899489280,2210,9706
806242860592926720,10839,0
806219024703037440,1131,6120
805958939288408065,4995,0
805932879469572096,1795,7872
805826884734976000,1710,6215
805823200554876929,7441,0
805520635690676224,1547,5460
805487436403003392,2370,8321
805207613751304193,1623,7454
804738756058218496,3591,12944
804475857670639616,1885,5821
804413760345620481,3000,0
804026241225523202,14987,41909
803773340896923648,2579,9518
803692223237865472,6901,0
803638050916102144,3875,10354
803380650405482500,1764,7373
803321560782307329,4938,0
803276597545603072,2290,9514
802952499103731712,1867,8556
802624713319034886,2716,0
802600418706604034,1376,6747
802572683846291456,2348,8492
802323869084381190,5455,15294
802265048156610565,1287,6602
802239329049477120,2451,8621
802185808107208704,250,0
801958328846974976,1592,7346
801854953262350336,218,1718
801538201127157760,1948,7792
801285448605831168,770,5721
801167903437357056,5492,23098
801127390143516673,3691,0
801115127852503040,1981,7659
800859414831898624,90,643
800855607700029440,1511,0
800751577355128832,2617,10068
800513324630806528,2817,12459
800459316964663297,2055,9021
800443802682937345,4013,0
800388270626521089,2630,10576
800188575492947969,3681,0
800141422401830912,2383,14471
